WARNING:pip_audit._cli:--no-deps is supported, but users are encouraged to fully hash their pinned dependencies
WARNING:pip_audit._cli:Consider using a tool like `pip-compile`: https://pip-tools.readthedocs.io/en/latest/#using-hashes
Found 428 known vulnerabilities in 49 packages
Name             Version ID                  Fix Versions
---------------- ------- ------------------- ------------
python-multipart 0.0.20  PYSEC-2026-3037     0.0.30
python-multipart 0.0.20  PYSEC-2026-3036     0.0.30
python-multipart 0.0.20  PYSEC-2026-3040     0.0.31
python-multipart 0.0.20  PYSEC-2026-3039     0.0.27
python-socketio  5.16.0  PYSEC-2026-3042     5.16.2
python-socketio  5.16.0  PYSEC-2026-3042     5.16.2
ray              2.53.0  PYSEC-2026-2271     2.54.0
ray              2.53.0  PYSEC-2026-2272     2.55.0
ray              2.53.0  PYSEC-2026-2272
ray              2.53.0  PYSEC-2026-2271     2.54.0
ray              2.53.0  PYSEC-2026-2273     2.56.0
ray              2.53.0  PYSEC-2026-2273     2.56.0
sentencepiece    0.2.0   PYSEC-2026-1909     0.2.1
sentencepiece    0.2.0   PYSEC-2026-1909     0.2.1
setuptools       80.9.0  PYSEC-2026-3447     83.0.0
setuptools       80.9.0  PYSEC-2026-3447     83.0.0
soupsieve        2.6     PYSEC-2026-3072     2.8.4
soupsieve        2.6     PYSEC-2026-3071     2.8.4
soupsieve        2.6     PYSEC-2026-3072     2.8.4
soupsieve        2.6     PYSEC-2026-3071     2.8.4
soupsieve        2.6     CVE-2026-85999      2.9.0
soupsieve        2.6     CVE-2026-86000      2.9.0
streamlit        1.41.1  PYSEC-2026-2285     1.54.0
streamlit        1.41.1  PYSEC-2026-212      1.53.1
streamlit        1.41.1  PYSEC-2026-2285     1.54.0
streamlit        1.41.1  PYSEC-2026-212      1.53.1
torch            2.10.0  PYSEC-2026-139
torch            2.10.0  PYSEC-2025-194      2.13.0
tornado          6.4.2   PYSEC-2026-1974     6.5
tornado          6.4.2   PYSEC-2026-2287     6.5.5
tornado          6.4.2   PYSEC-2026-140      6.5.5
tornado          6.4.2   PYSEC-2026-2287     6.5.5
tornado          6.4.2   PYSEC-2026-140      6.5.5
tornado          6.4.2   PYSEC-2026-3388     6.5.6
tornado          6.4.2   PYSEC-2026-3387     6.5.6
tornado          6.4.2   PYSEC-2026-3389     6.5.6
tornado          6.4.2   PYSEC-2026-1974     6.5
tornado          6.4.2   PYSEC-2025-266      6.5.3
tornado          6.4.2   PYSEC-2025-265      6.5.3
tornado          6.4.2   PYSEC-2025-267      6.5.3
tornado          6.4.2   PYSEC-2026-2287     6.5.5
tornado          6.4.2   PYSEC-2026-3387     6.5.6
tornado          6.4.2   PYSEC-2026-3388     6.5.6
tornado          6.4.2   PYSEC-2026-3389     6.5.6
tornado          6.4.2   PYSEC-2025-265      6.5.3
tornado          6.4.2   PYSEC-2025-267      6.5.3
tornado          6.4.2   PYSEC-2025-266      6.5.3
tornado          6.4.2   PYSEC-2026-3928     6.5.8
tornado          6.4.2   GHSA-pw6j-qg29-8w7f 6.5.7
tornado          6.4.2   GHSA-8423-8fgw-73vq 6.5.8
transformers     5.5.0   PYSEC-2026-3929     5.10.0
ujson            5.10.0  PYSEC-2026-2291     5.12.0
ujson            5.10.0  PYSEC-2026-2292     5.12.0
ujson            5.10.0  PYSEC-2026-2293     5.12.1
ujson            5.10.0  PYSEC-2026-2294     5.13.0
ujson            5.10.0  PYSEC-2026-2292     5.12.0
ujson            5.10.0  PYSEC-2026-2291     5.12.0
ujson            5.10.0  PYSEC-2026-2294     5.13.0
ujson            5.10.0  PYSEC-2026-2293     5.12.1
urllib3          2.3.0   PYSEC-2026-1997     2.5.0
urllib3          2.3.0   PYSEC-2026-1999     2.5.0
urllib3          2.3.0   PYSEC-2026-1998     2.6.0
urllib3          2.3.0   PYSEC-2026-1994     2.6.0
urllib3          2.3.0   PYSEC-2026-1996     2.6.3
urllib3          2.3.0   PYSEC-2026-141      2.7.0
urllib3          2.3.0   PYSEC-2026-141      2.7.0
urllib3          2.3.0   PYSEC-2026-1999     2.5.0
urllib3          2.3.0   PYSEC-2026-1998     2.6.0
urllib3          2.3.0   PYSEC-2026-1997     2.5.0
urllib3          2.3.0   PYSEC-2026-1994     2.6.0
urllib3          2.3.0   PYSEC-2026-1996     2.6.3
virtualenv       20.35.4 PYSEC-2026-2009     20.36.1
virtualenv       20.35.4 PYSEC-2026-2009     20.36.1
werkzeug         3.1.3   PYSEC-2026-2046     3.1.4
werkzeug         3.1.3   PYSEC-2026-2044     3.1.5
werkzeug         3.1.3   PYSEC-2026-2320     3.1.6
werkzeug         3.1.3   PYSEC-2026-2046     3.1.4
werkzeug         3.1.3   PYSEC-2026-2044     3.1.5
werkzeug         3.1.3   PYSEC-2026-2320     3.1.6
wheel            0.45.1  CVE-2026-24049      0.46.2
zeroconf         0.148.0 PYSEC-2026-3436     0.149.5
zeroconf         0.148.0 PYSEC-2026-3437     0.149.6
zeroconf         0.148.0 PYSEC-2026-3439     0.149.7
zeroconf         0.148.0 PYSEC-2026-3435     0.149.12
zeroconf         0.148.0 PYSEC-2026-3438     0.149.16
zeroconf         0.148.0 PYSEC-2026-3439     0.149.7
zeroconf         0.148.0 PYSEC-2026-3438     0.149.16
zeroconf         0.148.0 PYSEC-2026-3436     0.149.5
zeroconf         0.148.0 PYSEC-2026-3437     0.149.6
zeroconf         0.148.0 PYSEC-2026-3435     0.149.12
